Player,Nation,Pos,Age,Squad,Comp,Born,Player Value,cost,league_new_club,new_club,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Brenden Aaronson,USA,MFFW,22,Leeds United,Premier League,2000,€25.00m,loan transfer,Bundesliga,1.FC Union Berlin,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75,0.45,0.11,3.22,31.0,28.1,2.88,0.96,0.17,0.0,2.54,0.23,1.47,0.68,0.62,0.06,23.2,0.0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,44.0,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.0,0.62,2.26,0.17,2.54,0.51,0.0,0.0,0.0,4.86,0.34,1.19,22.2
Francesco Acerbi,ITA,DF,35,Inter,Serie A,1988,€4.00m,€4.00m,Serie A,Inter Milan,14,12,1110,12.3,0,0.49,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,51.7,58.9,87.7,975.9,312.0,18.9,20.5,92.1,25.8,28.6,90.1,6.02,8.13,74.0,0.08,0.49,3.09,0.24,0.0,3.58,58.9,55.7,3.17,2.11,0.0,0.73,0.24,0.57,0.0,0.0,0.0,0.0,51.7,0.08,0.16,0.98,0.81,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.57,1.14,0.16,0.0,0.81,0.98,83.3,0.16,0.57,0.33,0.24,0.98,2.28,3.33,0.0,67.2,8.21,30.4,34.4,2.85,0.49,67.2,0.16,0.0,0.0,0.08,50.0,36.7,184.3,96.6,1.06,0.89,0.08,0.57,0.24,44.2,0.24,0.24,0.0,0.0,0.73,0.73,0.08,0.24,0.57,0.0,0.0,0.0,4.96,2.76,1.63,63.0
Tyler Adams,USA,MF,23,Leeds United,Premier League,1999,€18.00m,€26.90m,Premier League,AFC Bournemouth,19,19,1706,19.0,0,0.11,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,47.1,57.4,82.0,715.1,220.9,25.7,29.2,87.9,16.8,19.9,84.7,2.84,4.74,60.0,0.0,1.21,4.37,0.63,0.0,5.84,57.4,54.3,3.16,2.47,0.05,0.05,0.11,0.68,0.0,0.0,0.0,0.0,47.1,0.0,1.0,1.84,1.79,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,4.11,2.0,2.05,1.68,0.37,2.21,3.16,70.0,0.95,1.84,0.32,1.53,1.42,5.53,1.16,0.0,69.4,1.53,15.4,43.2,11.3,0.16,69.4,0.89,0.16,17.6,0.58,64.7,35.2,137.1,62.5,0.68,1.0,0.0,1.16,0.68,39.6,0.95,0.26,0.05,0.05,1.74,1.05,0.05,0.11,2.0,0.0,0.0,0.0,8.68,0.89,0.63,58.6
Álvaro Aguado,ESP,MF,26,Valladolid,La Liga,1996,€3.00m,-,,Without Club,19,12,1130,12.6,0,0.71,0.16,22.2,0.0,0.0,25.4,0.0,0.0,0.0,44.2,53.3,83.0,902.9,248.3,16.7,19.0,88.3,17.7,20.2,87.5,8.57,11.7,73.0,0.16,1.43,5.32,0.48,0.08,6.51,53.3,49.5,3.73,2.22,0.24,1.98,2.22,0.24,1.27,0.08,0.87,0.0,44.2,0.0,0.63,3.17,2.54,0.48,0.0,0.0,0.16,0.0,0.32,0.16,0.16,0.0,0.0,0.0,0.0,0.95,0.48,0.48,0.32,0.16,0.71,1.11,64.3,0.4,0.87,0.24,0.63,0.63,1.59,0.56,0.0,59.8,1.27,12.9,34.1,13.6,0.63,59.8,1.03,0.48,46.2,0.24,23.1,38.8,249.7,102.4,1.35,1.9,0.08,1.03,0.24,42.6,1.75,0.16,0.0,0.0,0.48,1.27,0.0,2.22,0.48,0.0,0.08,0.0,5.71,0.95,1.03,48.0
Kevin Agudelo,COL,MFFW,24,Spezia,Serie A,1998,€3.00m,€2.50m,UAE Pro League,Al-Nasr SC (UAE),21,16,1443,16.0,0,1.13,0.31,27.8,0.0,0.0,20.5,0.0,0.0,0.0,19.6,27.8,70.6,297.8,103.3,11.1,13.9,79.4,6.38,8.31,76.7,1.19,2.19,54.3,0.0,0.88,2.44,1.0,0.06,4.31,27.8,26.6,0.88,0.13,0.13,0.06,1.31,0.25,0.31,0.19,0.13,0.0,19.6,0.31,1.19,1.88,1.31,0.06,0.19,0.19,0.13,0.0,0.13,0.06,0.0,0.0,0.0,0.06,0.0,2.94,1.38,0.88,1.25,0.81,1.13,2.75,40.9,1.63,1.75,0.25,1.5,0.44,3.38,0.13,0.0,41.8,0.5,6.25,19.6,17.3,2.06,41.8,3.38,1.38,40.7,1.63,48.1,23.9,173.9,94.6,2.88,2.38,0.69,2.63,2.44,25.4,3.88,0.13,0.0,0.0,1.63,1.75,0.13,1.31,1.38,0.0,0.0,0.0,5.69,0.56,1.25,31.0
Ola Aina,NGA,DF,26,Torino,Serie A,1996,€3.50m,free transfer,Premier League,Nottingham Forest,12,8,676,7.5,1,0.93,0.4,42.9,0.14,0.33,16.1,0.0,0.0,0.0,41.5,55.7,74.4,693.1,278.8,21.7,23.5,92.6,13.2,17.7,74.4,5.2,9.73,53.4,0.13,1.2,3.07,1.6,1.07,4.67,55.7,44.5,10.7,0.8,0.0,0.13,3.47,9.73,0.13,0.0,0.0,0.0,41.5,0.53,1.87,2.93,2.27,0.13,0.4,0.0,0.13,0.0,0.4,0.27,0.0,0.13,0.0,0.0,0.0,1.73,1.33,0.4,0.93,0.4,0.8,1.33,60.0,0.53,1.2,0.27,0.93,1.07,2.8,2.67,0.0,68.5,2.4,14.8,31.2,23.6,1.47,68.5,4.53,2.27,50.0,1.6,35.3,36.7,236.1,119.3,3.87,2.8,0.53,1.47,0.67,40.1,4.8,0.53,0.0,0.0,1.6,1.6,0.13,3.47,1.33,0.0,0.13,0.0,6.27,1.2,0.8,60.0
Jordi Alba,ESP,DF,33,Barcelona,La Liga,1989,€5.00m,free transfer,MLS,Inter Miami CF,14,9,931,10.3,1,0.87,0.19,22.2,0.11,0.5,23.7,0.0,0.0,0.0,82.6,97.0,85.2,1304.9,393.5,45.2,49.2,91.9,29.5,33.9,87.1,5.83,9.03,64.5,0.29,2.52,9.51,3.11,1.07,10.3,97.0,84.5,12.2,2.82,0.39,0.49,5.05,9.42,0.0,0.0,0.0,0.0,82.6,0.29,1.75,3.98,3.59,0.19,0.1,0.1,0.0,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,1.65,1.26,0.87,0.78,0.0,1.07,2.04,52.4,0.97,0.78,0.29,0.49,0.49,2.14,1.36,0.0,103.4,1.84,18.3,55.6,30.0,2.14,103.4,0.78,0.39,50.0,0.39,50.0,62.5,256.4,139.5,2.91,1.84,0.39,0.39,0.58,75.4,9.32,0.39,0.1,0.1,0.68,0.19,0.68,5.05,1.26,0.0,0.0,0.0,6.8,0.58,0.97,37.5
Omar Alderete,PAR,DF,26,Getafe,La Liga,1996,€4.00m,€4.00m,LaLiga,Getafe CF,8,7,630,7.0,0,0.71,0.14,20.0,0.0,0.0,16.4,0.0,0.0,0.0,28.3,44.9,63.1,543.7,237.9,9.86,13.3,74.2,15.6,18.6,83.8,2.71,11.6,23.5,0.0,0.14,2.14,0.43,0.0,4.0,44.9,42.1,2.57,1.86,0.0,0.86,0.29,0.71,0.0,0.0,0.0,0.0,28.3,0.14,0.86,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.29,0.86,0.43,0.0,0.86,1.57,54.5,0.71,0.86,0.43,0.43,0.86,2.14,4.29,0.0,56.1,4.86,23.0,29.4,4.43,1.29,56.1,1.14,0.57,50.0,0.57,50.0,27.4,116.7,76.0,0.57,0.29,0.0,0.57,0.14,30.9,0.57,0.43,0.0,0.0,1.14,0.86,0.0,0.29,0.29,0.0,0.0,0.0,5.43,3.14,1.71,64.7
Ángel Algobia,ESP,MF,23,Getafe,La Liga,1999,€1.50m,free transfer,LaLiga2,Levante UD,14,9,747,8.3,0,0.36,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,36.6,44.5,82.4,643.4,123.1,16.1,18.9,85.4,15.3,17.1,89.4,4.1,6.02,68.0,0.0,0.36,2.29,0.36,0.36,2.89,44.5,42.8,1.45,1.33,0.0,0.24,0.84,0.0,0.0,0.0,0.0,0.0,36.6,0.24,0.6,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.93,0.84,1.33,0.6,0.0,1.45,2.17,66.7,0.72,1.33,0.36,0.96,0.36,2.29,0.72,0.0,52.4,0.96,12.8,32.7,7.11,0.84,52.4,0.24,0.12,50.0,0.12,50.0,27.8,133.5,60.8,0.96,0.24,0.24,1.2,0.6,34.1,0.72,0.24,0.0,0.0,2.29,0.84,0.0,0.84,0.84,0.0,0.0,0.0,5.18,0.72,1.69,30.0
Gastón Álvarez,URU,DF,22,Getafe,La Liga,2000,€5.00m,€3.50m,LaLiga,Getafe CF,10,5,571,6.3,2,0.32,0.32,100.0,1.0,1.0,9.5,0.0,0.0,0.0,21.1,32.2,65.5,359.0,167.8,10.8,11.9,90.7,8.57,14.1,60.7,1.75,4.6,37.9,0.0,0.16,1.9,0.16,0.16,2.7,32.2,28.1,4.13,0.32,0.0,0.16,0.79,3.81,0.0,0.0,0.0,0.0,21.1,0.0,0.63,0.63,0.48,0.16,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.22,1.43,1.43,0.79,0.0,1.27,2.22,57.1,0.95,0.95,0.48,0.48,1.43,3.65,2.7,0.0,42.4,3.33,16.3,22.2,4.13,0.63,42.4,0.79,0.16,20.0,0.48,60.0,16.8,64.0,25.9,0.48,0.16,0.0,0.63,0.32,22.5,1.43,0.32,0.16,0.0,1.43,1.11,0.0,0.79,1.43,0.0,0.0,0.0,3.81,2.22,2.22,50.0
